s | Zwei Themen die Perot immer wieder anspricht Rezession und Bürokratie | machen | ihnen besonders zu schaffen
s | die Menschen | gezwungen | wenig wünschenswerte Taten zu begehen
o | den nigerianischen Machthaber General Sani Abacha | forderte | die Bürgerrechtler zu begnadigen
s | Regierungschefs mehrerer Commonwealth-Länder | forderten | das Urteil aufzuheben
s | Der Bericht | empfiehlt | die erst 1994 gegründete Sondereinsatzgruppe für andere Aufgaben einzusetzen
o | alle Kriegsparteien | verpflichten | Kriegsverbrecher ungeschoren davonkommen nicht zu lassen
s | Die im Erdgeschoß Wohnenden | versucht | den Brand einzudämmen
s | Vier Menschen | versuchten | sich durch einen Sprung aus dem Fenster zu retten
s | die PDS | forderte | die Mittel für die Arbeitsmarktmaßnahmen zu erhöhen
s | man | versucht | die Probleme am Ende des 20. Jahrhunderts mit den organisatorischen Strukturen Methoden und Instrumenten des 19. zu lösen
s | Sie | versucht | die Frage woher Puck jenen Eselskopf den er dem tumben Handwerker aufsetzt hat zu beantworten
s | Karin Beier | versucht | dieses Moment von Unterdrückung und plötzlichem Ausbruch normabweichender Sexualität ins Spiel einzufügen
s | er | gezwungen | seine Gewinne vorzuzeigen
o | sie | aufgefordert | ihre Abschlüsse nicht zu veröffentlichen
s | die amerikanischen Geldgeber | geweigert | einem Umstrukturierungsplan zuzustimmen
s | Sie | drohten | eines der halbfertigen Schiffe als Geisel zu nehmen und dessen Verkauf zu verhindern wenn die Verhandlungen mit der Konzernleitung ergebnislos bleiben sollten
o | die Regierung in Tunis | klagt | internationales sowie selbst tunesisches Recht zu mißachten
o | Repressionen | bekommen | zu spüren
o | Staatschef Ben Ali | aufgefordert | zu den Werten des 7. Novembers zu stehen und sein Versprechen Tunesien zu demokratisieren einzuhalten
s | er | drohte | ihn zu veröffentlichen
s | Greenpeace wiederum | gibt | dem Gegner durch mangelnde Genauigkeit selbst Munition geliefert zu haben
s | Die Führer vieler Commonwealth-Nationen | geeinigt | Major auf der Konferenz zu isolieren und Großbritannien wegen seiner frankreichfreundlichen Position scharf zu verurteilen
s | die Strafgerichte | gehindert | in den aktiven Soldaten der Bundeswehr eine hinreichend überschaubare Gruppe zu sehen
s | der nette Bursche Tom Cruise | glaubte | mit seinem Charme die Welt erobern zu können
o | ihr | macht | mehr als übertriebene falsche enttäuschte Erwartungen zu schaffen
s | Bundestagspräsidentin Rita Süssmuth | äußert | die Europäische Kommission zu eigenen Initiativen zu ermächtigen damit sich gegenüber der Zusammenarbeit zwischen Regierungen mehr supranationale Interessenbestimmung durchsetzt
s | Sie | behaupten | dabei schwere Strahlungsschäden erlitten zu haben
o | die konsortialführende Dresdner Bank | überzeugten | mehr als im Verkaufsprospekt angekündigt Papiere auf den Markt zu werfen
o | der Regierung | warf | das Volk belogen mit der Behauptung zwei bis drei Prozent Wachstum reichten für neue Arbeitsplätze aus zu haben
s | Fachleute wie Hans Jägemann Umweltreferent des Deutschen Sportbunds | glaubten | mit einfachen Normen und Regeln Wassersport und Naturschutz in Einklang bringen zu können
o | den Russen | erlaubt | das Gesicht zu wahren
s | Die Synode | beschloß | den Fortbestand der protestantischen Wochenzeitung Das Sonntagsblatt bis 1999 zu sichern
s | Das Arbeitsamt | geweigert | dem Mann nahtlos Arbeitslosengeld zu zahlen
s | Die Vereinigung der Verfolgten des Nazi-Regimes | kündigte | in der Gedenkstätte Buchenwald eine viertägige Mahnwache einzurichten
o | seine Landsleute | zwingt | sich den wahren Verhältnissen zu stellen
s | Bundesinnenminister Manfred Kanther CDU | verlangt | in Asyl-Altfällen wieder abzuschieben
s | de Gaulle | weigerte | die Niederlage Frankreichs zu akzeptieren
s | die Männer | geweigert | als Dorfschützer mit dem Militär zu kollaborieren
s | Er | bestritt | von dem Vorhaben Amirs gewußt zu haben
s | Er | drohte | am Ende der Trauerperiode für Rabin Namen zu nennen
o | dem amtierenden Ministerpräsidenten Schimon Peres | bot | einen gemeinsamen Appell gegen Gewalt zu veröffentlichen
s | Likud | ordnete | alle Parteischriften in denen persönlich angegriffen Rabin wird zu vernichten
s | Der Rat der Siedler im Westjordanland | kündigte | seine Proteste gegen die Politik der israelischen Regierung zu mäßigen und Extremisten aus den eigenen Reihen auszuschließen
o | Klaus Kinkel | motiviert | das Thema anzupacken
s | Diese Großanbieter | verpflichtet | innerhalb ihres Gebietes in bestimmter Zeit einen noch zu definierenden Versorgungsgrad der Wohnbevölkerung herzustellen
s | Ignatz Bubis Vorsitzender des Zentralrats der Juden in Deutschland | mahnte | auch nach der 57. Wiederkehr des Jahrestages der Pogromnacht 1938 diese Erinnerung stets weiter wachzuhalten
o | die Angehörigen beider Konfessionen | anspornen | gemeinsam Gerechtigkeit und Frieden unter den Völkern zu suchen
o | die Angehörigen beider Konfessionen | anspornen | gemeinsam Gerechtigkeit und Frieden unter den Völkern zu suchen
s | Jelzin | angekündigt | Kosyrew entlassen zu wollen
s | sie | versuchten | in Restaurants Bars und Lebensmittelläden Zigaretten zu kaufen
o | Oberbürgermeisterin Roth | aufgefordert | Verfassungsklage gegen den Bund wegen Aushöhlung der kommunalen Selbstverwaltung einzureichen
o | Behörden und Apothekenkammern | forderte | ihre Aussagen zu widerrufen
s | Jelzin | empfahl | zu prüfen wie die Frage der Kontrolle über die multinationale Friedenstruppe gelöst werden kann
o | uns | verpflichtet | für eine Völkermordsklausel einzutreten
s | Präsident Jürgen Steinert | schlägt | die Mieten künftig generell an das ortsübliche Niveau anzupassen
s | die Behörden | beschränkten | die Gestüte Rails mit Quarantäne zu belegen
s | wir | sind | irgendeine Verbindung zu den Pferden in Brisbane herzustellen
s | der 68jährige Uderzo | angekündigt | die Arbeit einzustellen
o | die Militärjunta in Nigeria | aufgefordert | die Todesurteile gegen den Regimekritiker Ken Saro-Wiwa sowie acht weitere Vertreter der Ogoni-Minderheit aufzuheben
s | Außenminister Tomi Ikimi | weigerte | zum Schicksal Saro-Wiwas Stellung zu nehmen
s | Die SPD | verlangt | die Ausgaben sektoral zu begrenzen
s | Major | versucht | eine Klausel die Atomversuche rechtfertigt einzubauen
s | Die Tiere die vielfach auf Terrassen und Dächern leben | bekommen | Fleisch und rohen Fisch zu essen
s | Die Präsidenten von Bosnien und Kroatien Alija Izetbegovic und Franjo Tudjman | geeinigt | ihren bisher brüchigen Kooperationspakt zu erweitern
s | die | versuchten | dieser Krise zu begegnen
o | dem Museum und den Menschen von Wolframs-Eschenbach | empfahl | den Begriff Fremdenverkehr beim Wort zu nehmen
s | wir | raten | nicht wieder eine abstrakte Debatte über die sogenannte Staatsquote zu führen
s | Wir in NRW | mithelfen | den sozialdemokratischen Dreiklang aus ökonomischem Wandel ökologischer Erneuerung und sozialer Verantwortung weiterzuentwickeln und zu verbessern bei uns in NRW wie auch in der Bundesrepublik
s | wir | glaubten | die Ausdünstungen von Schweiß und feuchten Kleidern im engen Zweimannzelt noch immer zu riechen und die brennende Sonne auf der geröteten Haut zu fühlen
s | man | glaubte | mit ihr den Stein der Weisen gefunden zu haben
s | der | versucht | den umstrittenen Begriff Ökotourismus positiv zu bestimmen
s | die Forscher | hoffen | erstmals die am Rande unseres Sonnensystems vermuteten eisigen Kometenwolken sogenannte Schmutzige Schneebälle nachweisen zu können
s | die | mühte | Japans Vorherrschaft in der Computerindustrie zu brechen indem sie nationale Unternehmen stützte ohne zu erkennen daß diese ihre Forschungs- und Entwicklungszentren in Japan Texas Instruments in Singapur Apple und anderen Teilen der Welt hatten während gleichzeitig japanische Unternehmen NEC die Forschungs- und Entwicklungskapazität der USA zu nutzen begannen und Amerikaner beschäftigten
s | sie | empfehlen | überall im Land Menschenversammlungen und öffentliche Gebäude zu meiden
s | Das Außenministerium | empfiehlt | die aktuelle Lage über Rundfunk und über die Reiseleitungen zu verfolgen
s | sie | suchten | sich an den Werken ermordeter Komponisten zu bereichern
s | Wendorff | appellierte | bei der Bezahlung eines Reisepakets nachdrücklich auf die Aushändigung des sogenannten Sicherungsscheins zu bestehen
s | sie | empfehlen | überall im Land Menschenversammlungen und öffentliche Gebäude zu meiden
s | Das Außenministerium | empfiehlt | die aktuelle Lage über Rundfunk und über die Reiseleitungen zu verfolgen
s | Die Partei | versuchen | den Spagat zwischen ihrer traditionellen Basis und den neuen Mittelschichten hinzubekommen ohne dabei auseinanderzubrechen
s | Die SPD | versuchen | die Diskussion in ihre Mitglieder- und potentielle Wählerschaft zu tragen
s | Wolin der schon seit Jahren bemüht alle Spuren Heideggers im zeitgenössischen Denken zu brandmarken ist und im Dienste dieser Aufgabe einer breiteren Öffentlichkeit bekannt durch einen erbitterten Schlagabtausch mit Jacques Derrida in der New York Review of Books wurde | versucht | Ettingers in der Hauptsache vulgär- psychologische Mutmaßungen über das Verhältnis von Arendt und Heidegger philosophisch zu untermauern
o | das Buch Eichmann in Jerusalem | geschrieben | nur um ihren ehemaligen Geliebten von seiner Schuld reinzuwaschen
s | Vertreter des nigerianischen Militärregimes | weigerten | das Todesurteil gegen den Ogoni-Führer und Schriftsteller Ken Saro-Wiwa aufzuheben
s | Hans Apel | glaubte | vom Pferd getreten zu sein
s | Kohl | versucht | Die Modernisierung der Volkswirtschaft zum Markenzeichen seiner Politik zu machen
s | er | wüßte | richtige von unrichtiger moderne von unmoderner und sozialdemokratische von konservativer Wirtschaftpolitik zu unterscheiden
o | die USA | zu überzeugen | ihr Waffenembargo zu beenden und Hawks-Flugabwehrraketen Kampfflugzeuge sowie die Patton-Panzer die Israels Überlegenheit im Sechs-Tage-Krieg garantierten zu liefern
s | er | hoffte | mit dem Hinweise für die tadelsfreie Ausschreibung eines Investoren-Wettbewerbs zur baldigen Rekonstruktion der ehemaligen Preußischen Bauakademie einzuheimsen
s | die | wußten | den drohenden Verlust eines unwiederbringlichen Baukunstwerks richtig einzuschätzen
s | Dieser | verhindert | Zweifel an seiner Verkehrstüchtigkeit auszuräumen
s | die | versuchen | umgekehrt bei uns Zucker loszuwerden
s | die fünf brasilianischen Staatsbanken | verpflichten | öffentliche Gelder nur für umweltverträgliche Investitionsprojekte bereitzustellen
o | mehrere Konzerne darunter auch Daewoo | verdächtigen | Geld für den Ex-Präsidenten gewaschen oder verborgen zu haben
s | Die Preisverleihung | helfen | das Kurdenproblem friedlich und demokratisch zu lösen
s | der Bonner Finanzminister | schlägt | folgenden Sanktionsmechanismus in Gang zu setzen
o | Dem SPD-Vorsitzenden Rudolf Scharping | warf | mit seiner Kritik an Maastricht die Vertragstreue Deutschlands und die Verläßlichkeit der deutschen SPD aufs Spiel gesetzt zu haben
o | Waigel | warf | durch finanztechnische Tricks einen künstlichen Haushaltsausgleich vorzugaukeln
s | Roth | appellierte | die kommunale Selbstverwaltung nicht weiter auszuhöhlen
o | den Ministerpräsidenten Johannes Rau SPD | aufforderte | von seiner Richtliniekompetenz bei der Genehmigung von Garzweiler II Gebrauch zu machen um den Investoren Planungssicherheit zu geben
o | dem neuesten Bonner Vorstoß zur dauerhaften Sicherung der Preisstabilität in der geplanten Europäischen Wirtschafts- und Währungsunion | vorhalten | einen Abbau der deutschen Zahlungen an Brüssel mit anderen Mitteln anzustreben
o | Waigel | vorwerfen | mit seinem den europäischen Finanzministern zugesandten Grundsatzpapier eine Beerdigung erster Klasse des Maastricht-Vertrags anzusteuern
o | die öffentlich Bediensteten | aufgefordert | sich an den eingeleiteten Reformen zu beteiligen
o | das Bundesverfassungsgericht in Karlsruhe | gewarnt | Teile des neuen Asylrechts für verfassungswidrig zu erklären
o | jemandem | nahelegen | selbst zu gehen
s | private Telekommunikationsdienste | verpflichtet | den Kunden einen anonymen Netzzugang zu ermöglichen oder ihre Namen zumindest nicht länger zu speichern
o | die Richter | anweise | die Klagen die gegen sie vorliegen zurückzuziehen
s | die Financiers | scheuen | die Königskrone zu benutzen um einer Strafe zu entgehen
o | Kohl | forderte | die wirtschaftliche Zusammenarbeit von der Wahrung von Völker- und Menschenrechten in Tibet abhängig zu machen
s | er | beabsichtige | an allen drei FDP-Ministern im Kabinett festzuhalten
o | die FDP | veranlasse | nicht einen Millimeter zu wackeln in dieser Frage
s | das Kanzleramt | versuche | die Themen der Liberalen als unbedeutend abzuqualifizieren
s | die Parteispitze | überlegt | die außenpolitische Debatte auf einen Sonderkongreß zu verschieben
o | den Parteivorstand | zwingt | Teile des Inhalts in die eigene Beschlußvorlage aufzunehmen und den Rahmen der Debatte zu erweitern
s | Er | habe | versäumt die Anträge rechtzeitig vorzubereiten und verschuldet daß die Tagesordnung nicht auf den Willen der Parteibasis zugeschnitten sei
o | die Kollegen Kohl und Major | überredete | seinen Favoriten mitzutragen
s | Diese Mischung aus schlechten und etwas besseren Motiven zu einer europäischen Position abzüglich der offenkundig nachbarschaftlich befangenen Skandinavier zu adeln | hieß | die Rechnung auf stoffelige Weise ohne den Wirt zu machen
o | die Bundesregierung | aufgefordert | eine Einladung an den iranischen Außenminister Ali Akbar Welayati zurückzuziehen
s | Er | verlangt | in einem kritischen Dialog mit Iran zu bleiben
s | man | versuche | mit den Schlimmsten zu reden
s | CSU-Landesgruppenchef Michael Glos | versucht | CDU-Parlamentarier daran durch die Ja-Tür zu gehen zu hindern
o | CDU-Parlamentarier | zu hindern | durch die Ja-Tür zu gehen
s | Der frühere SS-Hauptsturmführer Erich Priebke | versucht | mit einer Petition an das Oberste Gericht Argentiniens seine Auslieferung an Italien zu verhindern
o | Bonn | warf | ein Aufweichen der internationalen Sicherheitsbestimmungen zu betreiben
s | Nimsch | forderte | geplanten Veränderungen an den internationalen Richtlinien für solche Transporte auf keinen Fall zuzustimmen
s | Die USA | erwägen | den UN-Sicherheitsrat anzurufen
o | die Bundesregierung | forderte | zu einer wirksamen Isolierung des menschenfeindlichen Regimes beizutragen
s | Yigal Amirs Bruder Hagai | bestritt | von konkreten Mordplänen gewußt zu haben
o | seinen britischen Kollegen John Major | rief | mit einer großzügigen mutigen und entschlossenen Geste auf den Waffenstillstand der IRA zu reagieren
s | Die Arbeiter | lernen | sich an die Maßstäbe der Bayern zu gewöhnen
o | Nigeria | forderte | binnen zwei Jahren Verbesserungen in Menschenrechtsfragen und Fortschritte bei der Rückkehr zur Demokratie vorzuweisen
s | Die Europäische Kommission | beschloß | ihre Entwicklungsleistungen für Nigeria auszusetzen
o | seine EU-Partner | bitten | sich dem Schritt anzuschließen
s | Kasim Omicevic Chef der Notenbank in Sarajewo | hofft | mit dem Pariser Club der Gläubigerländer eine Übereinkunft die über die Konditionen von Neapel hinausgeht zu erzielen
